lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.867092,-122.299153,CANNED FOODS GROCERY OUTLET,2001 FOURTH ST,7/18/2012,0,0,0,0,0
37.8677459,-122.2978036,INDIA CHAAT AND SWEETS,824 UNIVERSITY AVE,4/18/2012,1,0,0,1,0
37.863964,-122.29507,FRANKLIN BROS MARKET,901 BANCROFT WY,6/29/2011,0,0,0,0,0
37.868336,-122.294538,MILAN,990 UNIVERSITY AVE,3/27/2012,0,0,0,1,0
37.868112,-122.294606,BOMBAY CUISINE,2010 NINTH ST,11/30/2011,0,0,0,0,0
37.868217,-122.295132,BERKELEY OIL COMPANY,950 UNIVERSITY AVE,3/28/2012,1,0,0,0,0
37.866159,-122.29152,GALLEGOS MEXICAN FOOD,2200 SAN PABLO AVE,1/5/2012,0,0,0,1,0
37.8653819,-122.2912392,QUINCE CAFE &amp; GRILL,2228 SAN PABLO AVE,1/26/2012,0,0,0,0,0
37.866531,-122.291649,ST. HELENA WINE CO.,2198 SAN PABLO AVE,1/5/2012,0,0,0,0,0
37.868586,-122.292374,CHAAT AND CURRIES,2026 SAN PABLO AVE,PENDING,-1,-1,-1,-1,-1
37.868487,-122.292346,MI RANCHITO BAYSIDE MARKET,2032 SAN PABLO AVE,11/28/2011,0,0,1,1,0
37.868106,-122.292233,PRIYA SO. &amp; NO. INDIAN CUISINE,2072 SAN PABLO AVE,1/9/2012,0,0,0,1,0
37.868572,-122.291557,LANESPLITTER PUB,2033 SAN PABLO AVE,1/10/2012,0,0,0,1,0
37.868707,-122.291562,RAINBOW DONUT,2025 SAN PABLO AVE,11/28/2011,0,0,0,1,0
37.868077,-122.291435,COUNTRY CHEESE CO.  INC.,2101 SAN PABLO AVE,1/25/2012,0,0,0,0,0
37.8658971,-122.2908318,TEMARI,2215 SAN PABLO AVE,5/24/2011,0,0,0,1,0
37.8666989,-122.290909,JACK-IN-THE-BOX,2197 SAN PABLO AVE,2/3/2012,0,0,0,1,0
37.868568,-122.283489,BERKELEY CHINESE COMM. CHURCH,2117 ACTON ST,9/14/2011,0,0,0,0,0
37.850763,-122.271074,M AND H MARKET,3198 ADELINE ST,1/5/2012,0,0,0,0,0
37.8703239,-122.279993,SOBER INC.DBA NO. BEACH PIZZA,1598 UNIVERSITY AVE,7/23/2012,0,0,0,0,0
37.870134,-122.281531,UNIVERSITY CHEVRON,1500 UNIVERSITY AVE,2/9/2012,0,0,0,0,0
37.870727,-122.277284,UNIVERSITY PRODUCE,1700 UNIVERSITY AVE,6/20/2012,0,0,0,0,0
37.8707432,-122.2729309,RAINBOW RANCH CAFE,2080 M L KING JR WY,7/27/2012,0,0,0,0,0
37.870973,-122.27494,NATION'S,1800 UNIVERSITY AVE,6/20/2012,1,0,0,0,0
37.870644,-122.268574,LEE'S DELI,2116 SHATTUCK AVE,5/23/2012,0,0,0,0,0
37.870386,-122.270339,NUHA CAFE,2115 MILVIA ST,3/26/2012,0,0,0,0,0
37.870717,-122.27028,GECKO-GECKO THAI-CALIF. EATERY,2101 MILVIA ST,2/21/2012,1,0,0,1,0
37.870737,-122.269582,FREIGHT &amp; SALVAGE COFFEE HOUSE,2020 ADDISON ST,PENDING,-1,-1,-1,-1,-1
37.8715322,-122.271618,NEW AMSTERDAM COFFEE SHOP,1952 UNIVERSITY AVE,7/6/2012,0,0,0,0,0
37.8716208,-122.2715384,EVE,1960 UNIVERSITY AVE,4/19/2011,0,0,0,0,0
37.871423,-122.268821,NEW CHINA EXPRESS,2024 SHATTUCK AVE,PENDING,-1,-1,-1,-1,-1
37.871615,-122.270489,AU COQUELET,2000 UNIVERSITY AVE,7/24/2012,1,0,0,0,0
37.8718532,-122.2697111,CAFE PLATANO PARTNERSHIP,2042 UNIVERSITY AVE,7/23/2012,1,0,0,1,0
37.870019,-122.268613,TULLY'S COFFEE,2150 SHATTUCK AVE,2/1/2012,0,0,0,1,0
37.869959,-122.269016,PEKING EXPRESS,2068 CENTER ST,2/6/2012,0,0,0,1,0
37.869444,-122.269483,LOX  STOCK AND BAGEL,2043 ALLSTON WY,7/23/2012,1,0,0,0,0
37.8680224,-122.2682492,PINTOH,2270 SHATTUCK AVE,3/15/2012,0,0,0,0,0
37.8679988,-122.2678872,U A CINEMA'S 5,2274 SHATTUCK AVE,5/7/2012,0,0,0,0,0
37.867762,-122.270052,SUMO GRUB,2235 MILVIA ST,3/19/2012,0,0,0,1,0
37.86859,-122.266679,BERKELEY TOUCHLESS CAR WASH,2176 KITTREDGE ST,4/6/2012,0,0,0,0,0
37.8679422,-122.2675523,LITTLE PLEARN THAI KITCHEN,2283 SHATTUCK AVE,4/25/2012,0,0,0,1,0
37.868149,-122.267399,BECKETT'S,2271 SHATTUCK AVE,PENDING,-1,-1,-1,-1,-1
37.869347,-122.266785,CANCUN TAQUERIA,2134 ALLSTON WY # A,4/4/2012,0,0,0,0,0
37.868858,-122.267183,GREAT CHINA,2115 KITTREDGE ST,10/12/2011,0,0,0,0,0
37.87026,-122.266175,STARBUCKS COFFEE #9217,2128 OXFORD ST,5/7/2012,0,0,0,0,0
37.8701999,-122.266645,ALBORZ RESTAURANT,2142 CENTER ST,2/7/2012,0,0,0,1,0
37.869748,-122.267203,PANINI,2115 ALLSTON WY,5/23/2012,1,0,0,1,0
37.869651,-122.267491,WALGREENS #3127,2187 SHATTUCK AVE,6/1/2012,0,0,0,0,0
37.86984,-122.267491,THE JUPITER,2181 SHATTUCK AVE,5/23/2012,1,0,0,1,0
37.8703096,-122.2672473,PIE IN THE SKY,2124 CENTER ST,PENDING,-1,-1,-1,-1,-1
37.8703354,-122.2670738,BEN &amp; JERRY'S ICE CREAM,2130 CENTER ST,4/19/2012,0,0,0,0,0
37.871025,-122.26735,ARINEL PIZZA,2109 SHATTUCK AVE,7/10/2012,1,0,0,0,0
37.8710809,-122.267947,POLLO,100 BERKELEY SQ,5/22/2012,1,0,0,0,0
37.871631,-122.2680416,SUSHI KO,64 SHATTUCK SQ,3/23/2012,0,0,0,1,0
37.871436,-122.26743,LA ROSE RESTAURANT,2037 SHATTUCK AVE,8/23/2011,0,0,0,0,0
37.871788,-122.267464,ICHIBAN RESTAURANT,2017 SHATTUCK AVE,6/11/2012,1,0,0,1,0
37.871977,-122.267494,PEOPLE'S COFFEE &amp; TEA,2015 SHATTUCK AVE,5/10/2012,1,0,0,0,0
37.8726119,-122.26715,BERKELEY HARDWARE INC.,2145 UNIVERSITY AVE,12/27/2011,0,0,0,0,0
37.872584,-122.267444,CREPES A-GO-GO,2125 UNIVERSITY AVE,8/9/2011,0,0,0,1,0
37.852817,-122.265882,CAFE VALPARAISO,3105 SHATTUCK AVE,6/1/2012,0,0,0,0,0
37.8529849,-122.265917,STARRY PLOUGH,3101 SHATTUCK AVE,6/3/2011,0,0,0,0,0
37.8739133,-122.2685523,BISTRO LIASION,1849 SHATTUCK AVE STE 101,1/10/2012,0,0,0,1,0
37.873404,-122.268832,TRIPLE ROCK BREWERY,1920 SHATTUCK AVE,1/5/2012,0,0,0,0,0
37.873297,-122.268813,SOL Y LUNA,1926 SHATTUCK AVE,3/8/2012,0,0,0,0,0
37.8731859,-122.268916,THAI NOODLE,1936 SHATTUCK AVE,7/23/2012,1,0,0,0,0
37.87239,-122.268728,MCDONALD'S,1998 SHATTUCK AVE,4/23/2012,0,0,0,0,0
37.872527,-122.268669,TURKISH KITCHEN INC.,1984 SHATTUCK AVE,7/16/2012,0,0,0,0,0
37.872374,-122.268947,TAIWAN RESTAURANT,2071 UNIVERSITY AVE,5/2/2012,0,0,0,0,0
